Id,Date,Price,Cohort
10064340654,2006-09-12,22.6,21
10064429481,2006-09-18,12.74,21
10064792316,2006-09-05,50,21
10064852096,2006-09-13,53.74,21
10064852096,2009-12-11,49.25,21
10066042108,2006-09-19,204.69,21
10066042108,2007-02-08,350.78,21
10066042108,2009-09-20,24,21
10066239852,2006-09-02,163.45,21
10066498722,2006-09-07,47.1,21
10066809349,2006-09-27,135,21
10066840839,2006-09-05,189,21
10066840839,2007-03-18,157,21
10066840839,2008-01-04,91,21
10066840839,2011-03-22,297.75,21
10066840839,2011-11-14,85.07,21
10067071189,2006-09-06,73.17,21
10067241643,2006-09-21,45.2,21
10067339479,2006-09-14,59.52,21
10067339479,2010-10-10,262.33,21
10067339479,2010-11-02,39,21
10067709827,2006-09-28,87.5,21
10068056939,2006-09-08,61.1,21
10068056939,2007-11-07,40,21
10068056939,2008-11-13,24,21
10068056939,2010-06-29,44.2,21
10068056939,2010-11-19,20.9,21
10068172647,2006-09-18,419.58,21
10068172647,2007-05-07,64.98,21
10068172647,2007-08-20,49,21
10068257886,2006-09-22,30,21
10068257886,2010-10-31,297.95,21
10068257886,2010-11-15,40.5,21
10068257886,2011-06-28,89,21
10068257886,2012-04-23,63.75,21
10068429229,2006-09-03,35,21
10068525293,2006-09-09,18.98,21
10068525293,2007-04-09,24,21
10068525293,2008-12-05,61.82,21
10068525293,2009-05-22,12.35,21
10068525293,2009-06-19,12.35,21
10068537973,2006-09-25,71.25,21
10068641889,2006-09-14,33.33,21
10068736071,2010-04-22,25.42,21
10068736071,2006-09-01,55.35,21
10068858222,2006-09-19,235,21
10068858222,2006-10-03,239,21
10068858222,2007-05-23,125,21
10068858222,2008-11-24,11.5,21
10068858222,2008-12-29,91.67,21
10068893326,2006-09-18,9,21
10069089963,2006-09-09,129.25,21
10069089963,2006-12-11,29,21
10069628426,2006-09-19,15,21
10069628426,2006-12-02,17.5,21
10069869499,2006-09-20,24,21
10070517468,2006-09-16,102.96,21
10070930191,2006-09-05,11.75,21
10071473826,2006-09-16,50,21
10072058272,2006-09-04,110.6,21
10072192111,2006-09-02,89.2,21
10072483007,2006-09-27,77.1,21
10072483007,2009-12-01,59,21
10072483007,2011-05-18,158.86,21
10072707991,2006-09-12,12.87,21
10073372490,2006-09-26,81.9,21
10073601442,2006-09-02,69,21
10073601442,2008-07-22,114.4,21
10076397541,2006-09-27,30.95,21
10076397541,2007-10-26,26.4,21
10077274905,2006-09-25,29.85,21
10077274905,2006-11-08,24.81,21
10077299398,2006-09-02,14.98,21
10077718918,2006-09-05,10.25,21
10077718918,2009-07-23,10.25,21
10077718918,2010-11-08,30.78,21
10077718918,2012-07-30,139,21
10078711838,2006-09-09,21,21
